Frame,TopLeftCornerX,TopLeftCornerY,Length,Height
11,442.5,268.5,85,31
11,250.5,266.5,57,37
11,622.5,254.5,47,21
11,15.5,244.5,38,19
11,123.5,239.5,42,22
11,519.5,235.5,45,19
11,52.5,227.5,62,47
11,642.5,224.5,66,33
11,681.5,220.5,39,17
11,155.5,206.5,35,25
11,236.5,205.5,52,36
11,368.5,198.5,49,22
11,34.5,198.5,36,22
11,0.5,197.5,33,17
11,527.5,195.5,35,17
11,687.5,193.5,24,15
11,432.5,190.5,69,56
11,556.5,188.5,28,15
11,24.5,178.5,33,21
11,167.5,176.5,30,18
11,684.5,171.5,23,15
11,302.5,166.5,71,26
11,127.5,159.5,47,24
11,548.5,156.5,47,19
11,181.5,147.5,63,38
11,556.5,140.5,66,20
11,419.5,139.5,36,30
11,231.5,138.5,49,15
11,505.5,136.5,44,27
11,291.5,135.5,82,25
11,609.5,134.5,102,23
11,271.5,129.5,35,21
11,516.5,118.5,39,18
11,384.5,113.5,66,23
12,56.5,428.5,33,15
13,303.5,353.5,49,23
14,661.5,378.5,56,49
14,641.5,341.5,35,35
14,694.5,335.5,26,31
14,573.5,334.5,43,65
14,123.5,330.5,23,18
14,662.5,317.5,25,18
14,378.5,312.5,61,30
14,693.5,300.5,27,34
14,577.5,286.5,24,21
14,503.5,260.5,74,48
14,530.5,255.5,27,17
14,580.5,244.5,27,17
14,434.5,243.5,67,32
14,121.5,238.5,64,36
14,364.5,233.5,34,22
14,0.5,231.5,104,33
14,512.5,218.5,37,25
14,552.5,204.5,20,16
14,69.5,190.5,47,29
14,474.5,178.5,38,22
14,0.5,177.5,31,20
14,509.5,174.5,22,17
14,40.5,173.5,50,19
14,395.5,171.5,31,21
14,340.5,168.5,31,18
14,104.5,162.5,39,15
14,211.5,161.5,44,37
14,297.5,159.5,41,15
14,420.5,151.5,35,19
14,383.5,151.5,56,24
14,0.5,144.5,31,25
14,305.5,142.5,23,15
14,209.5,137.5,31,15
14,251.5,121.5,22,15
14,291.5,119.5,29,16
14,365.5,115.5,34,20
14,65.5,104.5,39,16
14,252.5,92.5,28,29
14,64.5,56.5,40,16
15,601.5,453.5,42,27
15,448.5,429.5,150,51
15,688.5,411.5,31,22
15,453.5,400.5,39,27
15,45.5,393.5,155,74
15,624.5,372.5,27,17
15,465.5,365.5,42,35
15,290.5,365.5,92,77
15,677.5,359.5,34,17
15,31.5,357.5,73,34
15,251.5,345.5,66,25
15,611.5,344.5,30,19
15,146.5,328.5,38,21
15,89.5,317.5,24,17
15,396.5,310.5,38,25
15,208.5,298.5,50,21
15,539.5,295.5,42,19
15,479.5,294.5,41,25
15,587.5,290.5,60,31
15,332.5,285.5,45,23
15,0.5,285.5,22,32
15,455.5,283.5,20,15
15,49.5,275.5,35,24
15,377.5,263.5,56,31
15,481.5,249.5,43,18
15,362.5,249.5,22,17
15,184.5,231.5,74,63
15,46.5,204.5,29,28
15,31.5,185.5,44,22
15,292.5,179.5,34,17
15,266.5,178.5,60,25
15,0.5,165.5,49,19
16,132.5,448.5,66,32
16,542.5,397.5,55,30
16,489.5,375.5,53,23
16,566.5,353.5,55,29
16,583.5,342.5,22,16
16,145.5,336.5,33,21
16,410.5,335.5,45,28
16,276.5,332.5,60,32
16,229.5,304.5,26,18
16,120.5,293.5,48,30
16,277.5,282.5,45,21
16,475.5,278.5,53,22
16,265.5,240.5,24,17
16,75.5,238.5,57,30
16,300.5,233.5,31,34
17,152.5,427.5,28,17
17,588.5,397.5,51,44
17,172.5,391.5,37,28
17,616.5,321.5,59,40
17,626.5,287.5,40,17
19,239.5,464.5,22,16
19,27.5,294.5,39,32
19,93.5,268.5,20,15
19,251.5,249.5,25,26
19,147.5,213.5,28,17
19,219.5,186.5,24,16
19,107.5,178.5,20,15
19,547.5,170.5,33,16
19,606.5,168.5,28,18
19,496.5,159.5,36,15
20,597.5,320.5,36,27
21,55.5,128.5,42,18
22,179.5,458.5,23,17
22,216.5,448.5,35,25
22,474.5,392.5,40,25
22,244.5,392.5,21,17
22,333.5,361.5,29,20
22,98.5,348.5,21,15
22,497.5,342.5,33,15
23,114.5,292.5,84,89
23,224.5,204.5,79,44
23,663.5,197.5,30,37
23,0.5,162.5,21,28
23,629.5,140.5,51,35
23,424.5,139.5,51,34
23,197.5,133.5,67,31
23,189.5,125.5,25,15
23,479.5,75.5,35,20
23,482.5,64.5,61,25
23,594.5,44.5,26,15
23,103.5,12.5,24,15
24,0.5,436.5,84,44
24,407.5,424.5,46,22
24,391.5,383.5,27,24
24,578.5,376.5,54,30
24,615.5,356.5,53,25
24,33.5,335.5,26,19
24,354.5,325.5,58,24
24,431.5,321.5,41,25
24,649.5,309.5,35,21
24,478.5,305.5,25,17
24,315.5,302.5,25,18
24,380.5,292.5,36,17
24,559.5,290.5,34,21
24,3.5,288.5,42,16
24,344.5,282.5,32,15
24,82.5,279.5,28,25
24,681.5,274.5,26,24
24,671.5,247.5,47,18
24,633.5,243.5,41,16
24,364.5,234.5,38,15
24,458.5,211.5,62,24
25,33.5,135.5,33,20
25,0.5,0.5,29,18
26,37.5,331.5,44,21
26,238.5,324.5,43,25
26,601.5,313.5,33,28
26,3.5,290.5,32,20
26,32.5,286.5,28,20
26,110.5,284.5,27,22
26,195.5,283.5,53,26
26,175.5,278.5,33,17
26,29.5,272.5,24,19
26,91.5,269.5,32,15
26,354.5,235.5,32,17
26,240.5,219.5,52,19
27,109.5,444.5,55,36
27,0.5,434.5,20,22
27,61.5,351.5,26,18
27,6.5,336.5,33,25
27,371.5,320.5,34,22
27,210.5,291.5,47,31
27,291.5,265.5,32,18
27,408.5,264.5,24,18
27,161.5,261.5,32,19
27,242.5,237.5,27,15
27,473.5,203.5,35,20
27,580.5,152.5,38,16
27,559.5,144.5,26,15
27,630.5,121.5,51,17
28,662.5,456.5,58,24
28,39.5,418.5,76,60
28,670.5,416.5,45,17
28,157.5,415.5,63,33
28,575.5,387.5,45,29
28,628.5,368.5,59,21
28,143.5,332.5,40,23
28,70.5,317.5,39,18
28,384.5,312.5,85,18
28,633.5,311.5,43,21
28,518.5,307.5,31,15
28,312.5,300.5,28,15
28,634.5,291.5,21,18
30,0.5,287.5,34,38
30,257.5,276.5,50,18
30,133.5,259.5,37,16
30,16.5,205.5,34,15
31,200.5,450.5,42,22
31,565.5,442.5,37,19
31,413.5,438.5,29,19
31,213.5,421.5,45,25
31,466.5,413.5,53,23
31,0.5,395.5,20,20
31,192.5,391.5,21,18
31,518.5,375.5,38,15
31,370.5,366.5,74,36
31,271.5,323.5,37,16
31,542.5,308.5,30,17
31,679.5,307.5,35,16
31,603.5,306.5,28,17
31,662.5,250.5,28,15
31,693.5,248.5,27,25
33,2.5,462.5,50,18
33,324.5,454.5,69,26
33,693.5,443.5,27,31
33,562.5,439.5,83,41
33,22.5,420.5,47,32
33,698.5,404.5,22,22
33,325.5,385.5,60,22
33,654.5,373.5,50,27
33,598.5,346.5,44,25
33,261.5,332.5,38,21
33,406.5,331.5,42,17
33,165.5,306.5,34,18
33,253.5,290.5,49,15
33,686.5,257.5,34,18
34,528.5,443.5,68,37
34,162.5,414.5,63,48
34,60.5,405.5,50,45
34,19.5,380.5,32,16
34,54.5,371.5,43,20
34,371.5,357.5,75,41
34,214.5,344.5,116,71
34,91.5,344.5,51,23
34,529.5,340.5,39,23
34,621.5,305.5,25,22
34,67.5,300.5,45,24
34,188.5,298.5,23,15
34,469.5,295.5,50,26
34,692.5,293.5,28,22
34,226.5,293.5,43,22
34,643.5,291.5,33,20
34,523.5,290.5,57,49
34,266.5,288.5,38,15
34,365.5,285.5,72,26
34,186.5,280.5,37,15
34,137.5,265.5,50,19
34,411.5,261.5,39,18
34,183.5,253.5,65,18
34,264.5,247.5,51,27
34,30.5,245.5,42,17
34,413.5,236.5,26,17
35,630.5,408.5,23,33
35,679.5,394.5,27,45
35,635.5,272.5,32,24
35,391.5,267.5,42,46
35,307.5,253.5,73,31
35,648.5,243.5,42,33
35,508.5,226.5,36,22
35,446.5,191.5,25,28
35,386.5,189.5,39,43
35,509.5,169.5,21,19
35,212.5,65.5,38,25
35,289.5,56.5,37,33
35,36.5,0.5,36,29
36,548.5,458.5,40,22
36,649.5,392.5,50,50
36,397.5,375.5,98,63
36,148.5,375.5,86,74
36,484.5,343.5,47,45
36,38.5,341.5,71,64
36,611.5,332.5,30,34
36,195.5,295.5,82,58
36,598.5,279.5,56,36
36,47.5,244.5,59,39
36,499.5,237.5,32,17
36,150.5,216.5,53,41
36,670.5,214.5,28,21
36,609.5,204.5,30,17
36,556.5,201.5,33,20
36,332.5,200.5,48,29
36,480.5,196.5,31,19
36,388.5,193.5,113,40
36,607.5,177.5,28,16
36,400.5,174.5,41,20
36,354.5,170.5,40,17
36,20.5,164.5,27,18
36,301.5,162.5,42,24
36,562.5,152.5,44,21
36,221.5,142.5,59,22
36,47.5,141.5,27,16
36,91.5,136.5,68,21
36,365.5,121.5,35,21
36,591.5,110.5,23,15
36,473.5,100.5,61,31
36,399.5,91.5,47,17
36,0.5,91.5,22,20
36,435.5,85.5,62,27
36,346.5,81.5,36,18
36,400.5,77.5,32,19
36,319.5,74.5,38,15
36,0.5,0.5,183,46
37,580.5,232.5,47,26
37,620.5,163.5,27,15
37,489.5,113.5,26,18
37,563.5,108.5,36,23
37,515.5,106.5,27,15
37,247.5,106.5,41,15
37,379.5,30.5,27,15
38,201.5,460.5,57,20
38,438.5,457.5,72,23
38,499.5,431.5,55,39
38,372.5,421.5,93,25
38,690.5,415.5,30,25
38,547.5,405.5,20,22
38,675.5,373.5,22,16
38,0.5,356.5,58,75
38,678.5,338.5,34,31
38,438.5,337.5,21,15
38,437.5,319.5,45,27
38,204.5,318.5,30,36
38,229.5,315.5,88,126
38,639.5,299.5,28,17
38,484.5,282.5,44,24
38,250.5,278.5,44,20
38,641.5,267.5,28,16
38,298.5,267.5,38,30
38,334.5,260.5,68,37
38,139.5,245.5,43,24
38,0.5,235.5,39,63
38,449.5,225.5,23,19
38,49.5,224.5,33,20
38,535.5,223.5,38,21
38,340.5,218.5,53,24
38,205.5,216.5,56,16
38,86.5,214.5,34,15
38,482.5,207.5,32,21
38,250.5,192.5,42,20
38,171.5,177.5,35,17
38,0.5,136.5,26,18
39,455.5,452.5,34,28
39,569.5,439.5,33,32
39,451.5,417.5,24,29
39,596.5,396.5,38,29
39,501.5,375.5,27,19
39,153.5,330.5,56,45
39,415.5,316.5,34,22
39,0.5,302.5,64,57
39,455.5,296.5,49,24
39,161.5,296.5,34,24
39,434.5,273.5,28,21
39,383.5,268.5,27,24
39,300.5,262.5,33,22
39,154.5,241.5,38,16
39,0.5,240.5,85,30
39,364.5,239.5,34,24
39,160.5,216.5,34,26
39,106.5,200.5,38,22
39,349.5,199.5,25,21
39,212.5,182.5,52,28
39,171.5,176.5,28,20
39,98.5,161.5,29,18
39,286.5,155.5,45,34
39,106.5,145.5,30,17
39,131.5,139.5,45,17
39,181.5,135.5,70,32
39,138.5,127.5,33,16
39,64.5,70.5,90,41
39,20.5,67.5,33,15
40,588.5,289.5,26,16
41,85.5,422.5,73,39
41,599.5,417.5,70,29
41,595.5,392.5,53,23
41,314.5,390.5,31,20
41,374.5,387.5,54,20
41,131.5,384.5,57,24
41,37.5,374.5,32,23
41,522.5,334.5,35,16
41,342.5,325.5,32,21
41,81.5,310.5,36,15
41,425.5,307.5,34,16
41,316.5,284.5,41,15
41,14.5,280.5,32,15
41,60.5,276.5,20,20
41,456.5,272.5,29,19
41,270.5,262.5,39,22
41,117.5,258.5,32,19
42,35.5,435.5,146,45
42,583.5,375.5,100,60
42,0.5,357.5,50,32
42,210.5,342.5,34,42
42,88.5,342.5,56,38
42,516.5,341.5,41,16
42,667.5,335.5,32,21
42,58.5,311.5,32,24
42,597.5,300.5,42,26
42,413.5,292.5,114,47
42,126.5,288.5,46,21
42,675.5,286.5,27,18
42,210.5,283.5,42,26
42,296.5,278.5,95,34
42,101.5,270.5,35,22
42,55.5,265.5,31,21
42,157.5,264.5,36,17
42,238.5,262.5,28,18
42,0.5,252.5,49,41
42,602.5,238.5,61,21
42,656.5,236.5,29,17
42,332.5,216.5,124,31
42,569.5,214.5,41,16
42,468.5,208.5,53,48
42,380.5,208.5,47,18
42,112.5,207.5,124,61
42,11.5,207.5,26,17
42,267.5,205.5,28,36
42,315.5,200.5,39,15
42,105.5,197.5,39,15
42,576.5,189.5,35,21
42,372.5,189.5,34,20
42,427.5,179.5,39,19
42,6.5,174.5,48,32
42,77.5,163.5,47,29
42,118.5,160.5,32,19
42,399.5,159.5,44,16
42,185.5,157.5,48,29
43,163.5,444.5,25,31
43,110.5,374.5,34,45
43,86.5,318.5,20,16
43,586.5,310.5,116,61
43,11.5,288.5,34,24
43,305.5,177.5,45,27
43,201.5,164.5,24,16
43,584.5,140.5,35,17
45,397.5,336.5,56,34
45,389.5,224.5,26,15
45,225.5,181.5,29,18
46,336.5,399.5,105,81
46,115.5,367.5,137,88
46,0.5,351.5,40,48
46,526.5,328.5,83,88
46,263.5,285.5,56,56
46,176.5,267.5,44,50
46,301.5,234.5,57,49
46,463.5,229.5,63,38
46,116.5,229.5,22,19
46,15.5,199.5,22,16
46,95.5,182.5,32,27
46,66.5,171.5,24,17
46,256.5,143.5,42,34
46,639.5,142.5,68,54
46,102.5,125.5,56,28
46,546.5,123.5,29,21
46,241.5,113.5,55,26
46,180.5,110.5,25,17
46,250.5,99.5,26,15
46,243.5,88.5,30,15
46,651.5,57.5,50,17
46,592.5,49.5,65,29
47,189.5,391.5,97,64
47,380.5,311.5,87,52
47,298.5,308.5,45,43
47,695.5,302.5,25,26
47,654.5,285.5,37,31
47,507.5,249.5,46,26
47,81.5,245.5,63,34
47,634.5,223.5,24,15
47,663.5,211.5,33,30
47,498.5,192.5,39,16
47,651.5,189.5,25,18
47,565.5,188.5,37,17
47,607.5,187.5,31,19
47,671.5,174.5,20,24
47,700.5,173.5,20,18
47,550.5,154.5,24,21
47,461.5,153.5,59,19
47,614.5,152.5,26,18
47,177.5,149.5,42,24
47,345.5,140.5,27,16
47,10.5,135.5,23,15
47,440.5,126.5,33,15
47,362.5,122.5,45,21
47,316.5,113.5,32,17
47,176.5,109.5,37,20
47,429.5,107.5,61,32
47,342.5,101.5,49,15
48,603.5,452.5,62,28
48,388.5,445.5,45,35
48,156.5,435.5,70,45
48,674.5,434.5,33,36
48,552.5,399.5,53,37
48,696.5,352.5,24,21
48,0.5,333.5,180,85
48,560.5,332.5,40,27
48,637.5,318.5,25,23
48,522.5,316.5,39,35
48,465.5,305.5,62,59
48,658.5,286.5,62,63
48,632.5,284.5,24,21
48,559.5,284.5,24,18
48,354.5,280.5,40,28
48,591.5,274.5,24,18
48,70.5,274.5,65,58
48,487.5,261.5,29,18
48,588.5,251.5,36,19
48,104.5,240.5,25,17
48,493.5,239.5,29,21
48,592.5,235.5,20,16
48,412.5,234.5,45,29
48,447.5,231.5,24,15
48,523.5,229.5,29,20
48,122.5,220.5,47,31
48,307.5,207.5,42,25
48,528.5,202.5,29,16
48,570.5,199.5,41,16
48,360.5,198.5,31,15
48,441.5,185.5,31,30
48,164.5,184.5,70,37
48,369.5,181.5,58,29
48,499.5,179.5,32,23
48,502.5,164.5,48,28
48,83.5,158.5,33,21
48,437.5,155.5,23,15
48,211.5,155.5,39,15
48,458.5,150.5,49,24
48,308.5,141.5,48,20
48,420.5,138.5,34,16
48,229.5,133.5,50,22
48,105.5,121.5,34,22
48,6.5,114.5,35,28
48,288.5,106.5,27,16
48,254.5,100.5,36,17
48,76.5,84.5,37,18
48,0.5,83.5,25,22
48,199.5,78.5,64,25
48,57.5,69.5,37,15
48,77.5,56.5,38,20
49,264.5,465.5,48,15
49,132.5,445.5,47,35
49,623.5,409.5,97,71
49,0.5,408.5,82,72
49,101.5,403.5,56,43
49,43.5,403.5,37,26
49,269.5,379.5,28,15
49,17.5,376.5,34,26
49,175.5,363.5,47,50
49,452.5,360.5,49,80
49,118.5,356.5,65,51
49,60.5,347.5,84,54
49,40.5,338.5,62,33
49,20.5,337.5,20,21
49,0.5,335.5,30,23
49,239.5,319.5,64,55
49,186.5,317.5,26,22
49,305.5,315.5,26,17
49,223.5,314.5,20,22
49,486.5,313.5,99,73
49,338.5,303.5,42,26
49,697.5,291.5,23,34
49,144.5,278.5,39,21
49,153.5,272.5,97,59
49,312.5,270.5,60,39
49,389.5,265.5,30,15
49,442.5,263.5,28,23
49,250.5,262.5,31,25
49,145.5,255.5,56,20
49,484.5,253.5,45,32
49,254.5,249.5,108,59
49,193.5,241.5,84,37
49,181.5,233.5,35,16
49,293.5,229.5,45,29
49,391.5,211.5,51,23
49,467.5,205.5,127,60
49,280.5,197.5,80,49
49,278.5,192.5,24,15
49,634.5,191.5,46,30
49,373.5,186.5,54,29
49,697.5,174.5,23,27
49,581.5,161.5,63,57
49,440.5,158.5,62,23
49,578.5,154.5,26,21
49,657.5,148.5,31,18
49,488.5,147.5,63,55
49,329.5,147.5,114,47
49,549.5,139.5,34,15
49,449.5,136.5,50,21
49,431.5,129.5,39,18
49,472.5,118.5,28,17
49,542.5,105.5,54,21
49,542.5,97.5,37,15
49,581.5,89.5,33,15
49,597.5,77.5,123,58
50,616.5,405.5,41,38
50,530.5,304.5,21,18
51,511.5,417.5,87,47
51,93.5,415.5,21,46
51,670.5,396.5,38,29
51,491.5,355.5,73,41
51,447.5,340.5,28,18
51,253.5,334.5,64,24
51,556.5,333.5,62,45
51,686.5,322.5,34,22
51,667.5,305.5,26,17
51,676.5,299.5,35,17
51,36.5,288.5,31,16
51,604.5,281.5,26,18
51,177.5,240.5,32,16
52,543.5,440.5,28,28
52,121.5,405.5,100,75
52,340.5,212.5,21,16
52,273.5,204.5,24,21
52,224.5,162.5,27,16
52,250.5,160.5,25,17
52,165.5,145.5,42,33
52,247.5,89.5,25,18
55,454.5,423.5,73,57
55,615.5,365.5,31,20
55,585.5,305.5,29,26
56,552.5,409.5,39,18
56,305.5,348.5,34,30
56,411.5,324.5,35,17
56,261.5,289.5,34,20
56,29.5,254.5,53,25
56,28.5,216.5,28,18
56,220.5,215.5,27,17
56,90.5,201.5,28,15
56,152.5,190.5,32,25
56,90.5,167.5,34,20
57,619.5,454.5,20,23
57,529.5,439.5,44,41
57,555.5,435.5,20,16
57,489.5,388.5,29,23
57,571.5,385.5,23,21
57,400.5,358.5,32,26
57,249.5,333.5,48,36
57,506.5,306.5,20,22
57,406.5,303.5,21,19
57,334.5,301.5,28,23
57,374.5,300.5,33,21
57,41.5,274.5,59,42
57,353.5,251.5,43,26
57,349.5,222.5,23,17
57,247.5,218.5,24,17
57,173.5,208.5,31,18
57,45.5,183.5,22,17
57,337.5,167.5,22,20
57,134.5,146.5,26,15
58,247.5,246.5,53,29
58,0.5,117.5,26,18
59,254.5,368.5,54,25
59,426.5,362.5,52,44
59,573.5,349.5,38,24
59,94.5,321.5,74,48
59,607.5,286.5,48,17
59,419.5,268.5,33,20
59,672.5,262.5,25,15
60,357.5,223.5,44,26
61,482.5,463.5,27,17
61,163.5,355.5,79,56
61,428.5,276.5,44,32
61,634.5,268.5,23,21
61,0.5,231.5,35,31
61,153.5,218.5,56,24
61,690.5,192.5,30,17
61,106.5,192.5,38,20
61,387.5,161.5,36,21
61,661.5,156.5,42,25
62,70.5,421.5,39,28
62,396.5,402.5,87,78
62,251.5,398.5,112,73
62,58.5,371.5,36,25
62,120.5,359.5,40,39
62,563.5,354.5,53,24
62,667.5,353.5,53,70
62,46.5,343.5,52,31
62,182.5,325.5,101,115
62,609.5,298.5,68,45
62,327.5,293.5,91,76
62,7.5,292.5,150,65
62,31.5,284.5,61,33
62,0.5,283.5,38,19
62,427.5,277.5,99,41
62,312.5,261.5,49,34
62,272.5,259.5,48,21
62,39.5,255.5,67,32
62,570.5,254.5,53,28
62,397.5,251.5,39,24
62,81.5,247.5,23,17
62,152.5,233.5,32,19
62,252.5,232.5,45,23
62,202.5,222.5,66,28
62,68.5,221.5,87,40
62,297.5,211.5,41,31
62,409.5,200.5,47,16
62,190.5,200.5,54,30
62,154.5,200.5,51,23
62,266.5,196.5,42,17
62,368.5,192.5,28,20
62,509.5,183.5,101,98
62,342.5,182.5,22,16
62,518.5,178.5,34,16
62,282.5,178.5,31,17
62,309.5,175.5,39,21
62,370.5,162.5,145,43
62,494.5,161.5,44,16
62,544.5,150.5,119,33
62,302.5,140.5,102,34
62,562.5,133.5,51,23
62,602.5,129.5,21,16
62,646.5,128.5,24,21
62,665.5,126.5,55,54
62,417.5,118.5,44,23
62,631.5,105.5,53,21
62,484.5,102.5,116,29
62,562.5,91.5,80,20
62,651.5,87.5,22,19
64,66.5,446.5,133,34
64,52.5,397.5,35,18
64,518.5,391.5,55,24
64,208.5,366.5,61,29
64,360.5,364.5,106,48
64,397.5,351.5,52,19
64,579.5,333.5,63,38
64,698.5,322.5,22,15
64,388.5,297.5,28,17
64,570.5,286.5,35,17
64,669.5,269.5,48,18
64,359.5,269.5,34,22
64,20.5,269.5,42,28
64,560.5,266.5,42,25
64,356.5,239.5,32,19
64,405.5,213.5,31,23
66,14.5,345.5,29,44
66,94.5,320.5,39,46
66,129.5,117.5,33,23
66,489.5,49.5,40,15
66,0.5,0.5,183,101
67,611.5,233.5,37,20
67,163.5,179.5,55,22
67,517.5,168.5,46,16
67,263.5,164.5,46,16
67,673.5,144.5,28,17
67,537.5,49.5,38,15
67,0.5,0.5,180,62
68,226.5,298.5,50,26
68,446.5,263.5,52,24
68,358.5,217.5,31,17
68,410.5,214.5,32,16
69,441.5,452.5,50,28
69,581.5,373.5,47,19
69,230.5,326.5,46,32
69,395.5,314.5,27,16
69,346.5,313.5,36,18
69,473.5,308.5,50,18
69,93.5,277.5,24,17
69,632.5,232.5,29,15
69,393.5,224.5,24,15
70,166.5,447.5,49,33
70,477.5,428.5,107,52
70,0.5,411.5,50,46
70,0.5,388.5,33,22
70,233.5,378.5,143,77
70,214.5,376.5,46,40
70,186.5,374.5,33,21
70,80.5,374.5,32,21
70,13.5,367.5,22,17
70,364.5,364.5,58,50
70,581.5,362.5,97,61
70,41.5,360.5,32,18
70,314.5,323.5,51,36
70,231.5,320.5,44,35
70,63.5,320.5,21,19
70,523.5,310.5,71,54
70,280.5,301.5,54,25
70,144.5,298.5,109,84
70,127.5,296.5,37,29
70,424.5,291.5,63,43
70,95.5,291.5,25,29
70,183.5,288.5,25,15
70,358.5,264.5,36,28
70,403.5,263.5,46,28
70,253.5,260.5,68,27
70,172.5,260.5,43,15
70,300.5,250.5,33,17
70,553.5,244.5,48,27
70,511.5,244.5,38,23
70,333.5,235.5,39,16
70,552.5,213.5,38,25
70,483.5,205.5,44,27
70,594.5,196.5,89,65
70,294.5,196.5,32,16
70,335.5,190.5,23,17
70,563.5,184.5,37,17
70,394.5,184.5,44,24
70,448.5,178.5,39,21
70,687.5,174.5,33,18
70,492.5,170.5,43,18
70,393.5,152.5,32,22
70,422.5,151.5,47,32
70,533.5,149.5,55,22
70,646.5,148.5,47,31
70,503.5,136.5,47,20
70,628.5,113.5,42,25
71,30.5,336.5,49,22
71,303.5,277.5,35,16
71,322.5,251.5,26,15
72,200.5,328.5,49,23
73,320.5,296.5,39,24
74,0.5,423.5,46,45
74,582.5,382.5,70,45
